SEASON,PLAYER_NAME,POS,AGE,EXP,MIN,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,AST,STL,BLK,TO,PF
2019,Aaron Gordon,PF,23.0,5.0,33.8,6.0,13.4,1.6,4.4,2.4,3.2,1.7,5.7,3.7,0.7,0.7,2.1,2.2
2019,Aaron Holiday,PG,22.0,1.0,12.9,2.1,5.2,0.9,2.5,0.8,1.0,0.1,1.2,1.7,0.4,0.3,0.8,1.4
2019,Aaron Nesmith,0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,Abdel Nader,SF,25.0,2.0,11.4,1.5,3.5,0.5,1.6,0.4,0.6,0.2,1.7,0.3,0.3,0.2,0.4,1.1
2019,Adam Mokoka,0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,Al Horford,C,32.0,12.0,29.0,5.7,10.6,1.1,3.0,1.1,1.4,1.8,5.0,4.2,0.9,1.3,1.5,1.9
2019,Al-Farouq Aminu,PF,28.0,9.0,28.3,3.2,7.3,1.2,3.5,1.9,2.1,1.4,6.1,1.3,0.8,0.4,0.9,1.8
2019,Alan Williams,PF,26.0,4.0,5.2,1.6,2.6,0.0,0.2,0.4,0.8,0.8,3.0,0.6,0.2,0.0,0.2,0.4
2019,Alec Burks,SG,27.0,8.0,18.975,2.625,6.4,0.8,2.275,1.575,1.925,0.4,2.725,1.7249999999999999,0.575,0.275,0.8999999999999999,1.25
2019,Aleksej Pokusevski,0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,Alen Smailagic,0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,Alex Abrines,SG,25.0,3.0,19.0,1.8,5.1,1.3,4.1,0.4,0.4,0.2,1.4,0.6,0.5,0.2,0.5,1.7
2019,Alex Caruso,PG,24.0,2.0,21.2,3.1,6.9,1.0,2.0,2.0,2.6,0.8,1.9,3.1,1.0,0.4,1.7,2.2
2019,Alex Len,C,25.0,6.0,20.1,4.2,8.4,1.0,2.6,1.8,2.8,2.1,3.5,1.1,0.4,0.9,1.3,2.6
2019,Alex Poythress,PF,25.0,3.0,14.5,1.9,3.9,0.4,1.1,0.9,1.4,1.4,2.2,0.8,0.2,0.5,0.6,2.2
2019,Alfonzo McKinnie,SF,26.0,2.0,13.9,1.9,3.8,0.6,1.6,0.4,0.7,1.1,2.3,0.4,0.3,0.2,0.4,1.9
2019,Alize Johnson,PF,22.0,1.0,4.6,0.3,1.1,0.1,0.1,0.3,0.6,0.3,1.1,0.1,0.1,0.2,0.0,0.5
2019,Allen Crabbe,SG,26.0,6.0,26.3,3.2,8.7,2.3,6.0,1.0,1.3,0.4,3.1,1.1,0.5,0.3,1.1,2.4
2019,Allonzo Trier,SG,23.0,1.0,22.8,3.6,8.1,0.8,2.1,2.8,3.5,0.5,2.6,1.9,0.4,0.2,1.8,1.8
2019,Amida Brimah,0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,Amile Jefferson,PF,25.0,1.0,5.7,0.8,1.3,0.0,0.0,0.6,0.7,0.5,1.3,0.3,0.3,0.3,0.1,0.7
2019,Amir Coffey,0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,Amir Johnson,C,31.0,14.0,10.4,1.5,3.1,0.2,0.8,0.6,0.8,0.9,2.0,1.2,0.3,0.3,0.9,1.9
2019,Anderson Varejao,0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,Andre Drummond,C,25.0,7.0,33.5,7.1,13.3,0.1,0.5,3.1,5.2,5.4,10.2,1.4,1.7,1.7,2.2,3.4
2019,Andre Iguodala,SF,35.0,15.0,23.2,2.2,4.4,0.7,2.1,0.6,1.0,0.7,3.0,3.2,0.9,0.8,0.8,1.4
2019,Andre Ingram,SG,33.0,2.0,3.8,0.0,1.5,0.0,0.8,0.0,0.0,0.3,0.3,0.0,0.3,0.0,0.3,0.0
2019,Andre Roberson,0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,Andrew Bogut,C,34.0,14.0,12.2,1.6,3.3,0.0,0.0,0.3,0.3,1.1,3.9,1.0,0.3,0.7,0.7,2.0
2019,Andrew Harrison,PG,24.0,3.0,9.175,0.9,2.75,0.22499999999999998,1.4,0.7000000000000001,0.75,0.275,0.6000000000000001,1.075,0.15000000000000002,0.07500000000000001,0.5,1.7
2019,Andrew Wiggins,SF,23.0,5.0,34.8,6.8,16.6,1.6,4.8,2.8,4.1,1.1,3.7,2.5,1.0,0.7,1.9,2.1
2019,Anfernee Simons,SG,19.0,1.0,7.1,1.4,3.2,0.5,1.5,0.5,0.8,0.2,0.5,0.7,0.1,0.0,0.6,0.5
2019,Angel Delgado,C,24.0,1.0,7.5,0.5,2.5,0.0,0.0,0.5,1.0,1.0,1.0,0.0,0.5,0.0,0.0,1.0
