,TEAM_ID,STANDINGSDATE,TEAM,W_PCT
0,1610612743,2022-12-22,Denver,0.633
1,1610612763,2022-12-22,Memphis,0.633
2,1610612740,2022-12-22,New Orleans,0.613
3,1610612756,2022-12-22,Phoenix,0.594
4,1610612746,2022-12-22,LA Clippers,0.576
5,1610612758,2022-12-22,Sacramento,0.567
6,1610612762,2022-12-22,Utah,0.543
7,1610612757,2022-12-22,Portland,0.531
8,1610612742,2022-12-22,Dallas,0.5
9,1610612750,2022-12-22,Minnesota,0.5
10,1610612744,2022-12-22,Golden State,0.455
11,1610612760,2022-12-22,Oklahoma City,0.438
12,1610612747,2022-12-22,L.A. Lakers,0.419
13,1610612759,2022-12-22,San Antonio,0.323
14,1610612745,2022-12-22,Houston,0.29
15,1610612743,2022-12-21,Denver,0.633
16,1610612763,2022-12-21,Memphis,0.633
17,1610612740,2022-12-21,New Orleans,0.6
18,1610612756,2022-12-21,Phoenix,0.594
19,1610612746,2022-12-21,LA Clippers,0.576
20,1610612758,2022-12-21,Sacramento,0.567
21,1610612757,2022-12-21,Portland,0.531
22,1610612762,2022-12-21,Utah,0.529
23,1610612742,2022-12-21,Dallas,0.5
24,1610612750,2022-12-21,Minnesota,0.5
25,1610612744,2022-12-21,Golden State,0.455
26,1610612760,2022-12-21,Oklahoma City,0.438
27,1610612747,2022-12-21,L.A. Lakers,0.419
28,1610612759,2022-12-21,San Antonio,0.333
29,1610612745,2022-12-21,Houston,0.29
30,1610612743,2022-12-20,Denver,0.633
31,1610612763,2022-12-20,Memphis,0.633
32,1610612740,2022-12-20,New Orleans,0.6
33,1610612756,2022-12-20,Phoenix,0.594
34,1610612746,2022-12-20,LA Clippers,0.563
35,1610612758,2022-12-20,Sacramento,0.552
36,1610612757,2022-12-20,Portland,0.548
37,1610612762,2022-12-20,Utah,0.529
38,1610612750,2022-12-20,Minnesota,0.516
39,1610612742,2022-12-20,Dallas,0.484
40,1610612744,2022-12-20,Golden State,0.469
41,1610612747,2022-12-20,L.A. Lakers,0.433
42,1610612760,2022-12-20,Oklahoma City,0.419
43,1610612759,2022-12-20,San Antonio,0.333
44,1610612745,2022-12-20,Houston,0.3
45,1610612763,2022-12-19,Memphis,0.655
46,1610612743,2022-12-19,Denver,0.621
47,1610612756,2022-12-19,Phoenix,0.613
48,1610612740,2022-12-19,New Orleans,0.6
49,1610612746,2022-12-19,LA Clippers,0.563
50,1610612758,2022-12-19,Sacramento,0.552
51,1610612757,2022-12-19,Portland,0.548
52,1610612750,2022-12-19,Minnesota,0.516
53,1610612762,2022-12-19,Utah,0.515
54,1610612742,2022-12-19,Dallas,0.484
55,1610612744,2022-12-19,Golden State,0.484
56,1610612747,2022-12-19,L.A. Lakers,0.433
57,1610612760,2022-12-19,Oklahoma City,0.419
58,1610612759,2022-12-19,San Antonio,0.333
59,1610612745,2022-12-19,Houston,0.3
60,1610612763,2022-12-18,Memphis,0.655
61,1610612743,2022-12-18,Denver,0.621
62,1610612740,2022-12-18,New Orleans,0.621
63,1610612756,2022-12-18,Phoenix,0.6
64,1610612758,2022-12-18,Sacramento,0.571
65,1610612757,2022-12-18,Portland,0.567
66,1610612746,2022-12-18,LA Clippers,0.563
67,1610612762,2022-12-18,Utah,0.531
68,1610612742,2022-12-18,Dallas,0.5
69,1610612750,2022-12-18,Minnesota,0.5
70,1610612744,2022-12-18,Golden State,0.484
71,1610612747,2022-12-18,L.A. Lakers,0.448
72,1610612760,2022-12-18,Oklahoma City,0.4
73,1610612745,2022-12-18,Houston,0.31
74,1610612759,2022-12-18,San Antonio,0.31
75,1610612763,2022-12-17,Memphis,0.655
76,1610612740,2022-12-17,New Orleans,0.621
77,1610612743,2022-12-17,Denver,0.607
78,1610612756,2022-12-17,Phoenix,0.6
79,1610612758,2022-12-17,Sacramento,0.571
80,1610612757,2022-12-17,Portland,0.567
81,1610612746,2022-12-17,LA Clippers,0.563
82,1610612762,2022-12-17,Utah,0.531
83,1610612742,2022-12-17,Dallas,0.5
84,1610612750,2022-12-17,Minnesota,0.483
85,1610612744,2022-12-17,Golden State,0.467
86,1610612747,2022-12-17,L.A. Lakers,0.429
87,1610612760,2022-12-17,Oklahoma City,0.4
88,1610612745,2022-12-17,Houston,0.31
89,1610612759,2022-12-17,San Antonio,0.31
90,1610612763,2022-12-16,Memphis,0.679
91,1610612740,2022-12-16,New Orleans,0.643
92,1610612743,2022-12-16,Denver,0.607
93,1610612756,2022-12-16,Phoenix,0.586
94,1610612758,2022-12-16,Sacramento,0.571
95,1610612757,2022-12-16,Portland,0.552
96,1610612746,2022-12-16,LA Clippers,0.548
97,1610612762,2022-12-16,Utah,0.548
98,1610612742,2022-12-16,Dallas,0.517
99,1610612750,2022-12-16,Minnesota,0.483
100,1610612744,2022-12-16,Golden State,0.467
101,1610612747,2022-12-16,L.A. Lakers,0.429
102,1610612760,2022-12-16,Oklahoma City,0.379
103,1610612745,2022-12-16,Houston,0.321
104,1610612759,2022-12-16,San Antonio,0.321
105,1610612763,2022-12-15,Memphis,0.679
106,1610612740,2022-12-15,New Orleans,0.643
107,1610612743,2022-12-15,Denver,0.63
108,1610612756,2022-12-15,Phoenix,0.586
109,1610612757,2022-12-15,Portland,0.571
110,1610612758,2022-12-15,Sacramento,0.556
111,1610612746,2022-12-15,LA Clippers,0.548
112,1610612762,2022-12-15,Utah,0.548
113,1610612742,2022-12-15,Dallas,0.5
114,1610612744,2022-12-15,Golden State,0.483
